Commodity_Description,Market_Year,end_stock
"Oilseed, Soybean",2000,6743
"Oilseed, Soybean",2001,5663
"Oilseed, Soybean",2002,4853
"Oilseed, Soybean",2003,3059
"Oilseed, Soybean",2004,6960
"Oilseed, Soybean",2005,12229
"Oilseed, Soybean",2006,15617
"Oilseed, Soybean",2007,5580
"Oilseed, Soybean",2008,3761
"Oilseed, Soybean",2009,4106
"Oilseed, Soybean",2010,5852
"Oilseed, Soybean",2011,4610
"Oilseed, Soybean",2012,3825
"Oilseed, Soybean",2013,2504
"Oilseed, Soybean",2014,5188
"Oilseed, Soybean",2015,5354
"Oilseed, Soybean",2016,8208
"Oilseed, Soybean",2017,11923
"Oilseed, Soybean",2018,25995
