Commodity_Description,Market_Year,Production,Ending Stocks,Use,stk_rto
"Oilseed, Soybean",2000,75055,6743,76306,0.08836788719104657
"Oilseed, Soybean",2001,78672,5663,79815,0.07095157551838627
"Oilseed, Soybean",2002,75010,4853,75947,0.06389982487787536
"Oilseed, Soybean",2003,66783,3059,68728,0.044508788266790826
"Oilseed, Soybean",2004,85016,6960,81267,0.08564361918121746
"Oilseed, Soybean",2005,83507,12229,78330,0.15612153708668455
"Oilseed, Soybean",2006,87001,15617,83859,0.18622926579138793
"Oilseed, Soybean",2007,72859,5580,83165,0.06709553297661276
"Oilseed, Soybean",2008,80749,3761,82929,0.04535204813756346
"Oilseed, Soybean",2009,91470,4106,91522,0.0448635300801993
"Oilseed, Soybean",2010,90663,5852,89310,0.06552457731497033
"Oilseed, Soybean",2011,84291,4610,85972,0.05362210952403108
"Oilseed, Soybean",2012,82791,3825,84679,0.04517058538716801
"Oilseed, Soybean",2013,91389,2504,94663,0.026451728764142275
"Oilseed, Soybean",2014,106878,5188,105098,0.049363451255019127
"Oilseed, Soybean",2015,106857,5354,107332,0.049882607237356984
"Oilseed, Soybean",2016,116920,8208,114672,0.07157806613645877
"Oilseed, Soybean",2017,120039,11923,116918,0.10197745428419919
"Oilseed, Soybean",2018,125179,25995,111787,0.2325404564036963
